Ability,Use_Percentage (%),Pokemon
Magic Guard,8.446%,Clefable
Cute Charm,2.920%,Clefable
Thick Fat,95.609%,Appletun
Ripen,4.382%,Appletun
Gluttony,0.009%,Appletun
Defiant,97.829%,Bisharp
Inner Focus,2.171%,Bisharp
Pressure,0.000%,Bisharp
Clear Body,97.969%,Registeel
Light Metal,2.031%,Registeel
Solid Rock,58.073%,Rhyperior
Lightning Rod,41.908%,Rhyperior
Reckless,0.019%,Rhyperior
Power Spot,100.000%,Stonjourner
Motor Drive,99.953%,Electivire
Vital Spirit,0.047%,Electivire
Chlorophyll,99.788%,Leafeon
Leaf Guard,0.212%,Leafeon
Snow Warning,99.999%,Abomasnow
Soundproof,0.001%,Abomasnow
Huge Power,100.000%,Diggersby
Pickup,0.000%,Diggersby
Cheek Pouch,0.000%,Diggersby
Pressure,71.964%,Giratina Altered Forme
Telepathy,28.036%,Giratina Altered Forme
Simple,99.902%,Swoobat
Unaware,0.097%,Swoobat
Klutz,0.001%,Swoobat
Mirror Armor,97.174%,Corviknight
Pressure,2.274%,Corviknight
Unnerve,0.551%,Corviknight
Levitate,100.000%,Vikavolt
Hustle,99.831%,Durant
Swarm,0.133%,Durant
Truant,0.036%,Durant
Levitate,100.000%,Cresselia
Screen Cleaner,98.763%,Mr. Rime
Ice Body,1.033%,Mr. Rime
Tangled Feet,0.204%,Mr. Rime
Schooling,100.000%,Wishiwashi Solo Form
Guts,72.659%,Conkeldurr
Iron Fist,25.850%,Conkeldurr
Sheer Force,1.491%,Conkeldurr
Competitive,99.574%,Boltund
Strong Jaw,0.426%,Boltund
Justified,100.000%,Terrakion
Justified,100.000%,Cobalion
Teravolt,100.000%,Black Kyurem
Swift Swim,99.842%,Mantine
Water Absorb,0.158%,Mantine
No Guard,94.555%,Machamp
Steadfast,4.020%,Machamp
Guts,1.425%,Machamp
Sap Sipper,86.732%,Goodra
Hydration,11.135%,Goodra
Gooey,2.134%,Goodra
Unburden,70.479%,Accelgor
Sticky Hold,23.132%,Accelgor
Hydration,6.390%,Accelgor
Beast Boost,100.000%,Xurkitree
Anger Point,95.520%,Tauros
Sheer Force,2.347%,Tauros
Intimidate,2.133%,Tauros
Weak Armor,99.792%,Garbodor
Aftermath,0.184%,Garbodor
Stench,0.024%,Garbodor
Guts,86.430%,Luxray
Intimidate,13.570%,Luxray
Rivalry,0.000%,Luxray
Arena Trap,97.967%,Dugtrio
Sand Veil,2.026%,Dugtrio
Sand Force,0.007%,Dugtrio
Levitate,100.000%,Mow Rotom
Cursed Body,100.000%,Gengar
Snow Cloak,98.784%,Glaceon
Ice Body,1.216%,Glaceon
Lightning Rod,98.309%,Manectric
Minus,1.691%,Manectric
Static,0.000%,Manectric
Water Compaction,100.000%,Palossand
Sand Veil,0.000%,Palossand
Magic Bounce,99.567%,Espeon
Synchronize,0.433%,Espeon
Inner Focus,79.033%,Crobat
Infiltrator,20.967%,Crobat
Rock Head,99.866%,Tyrantrum
Strong Jaw,0.134%,Tyrantrum
Skill Link,89.304%,Cinccino
Technician,10.696%,Cinccino
Cute Charm,0.000%,Cinccino
Overcoat,52.187%,Kommo-o
Soundproof,47.810%,Kommo-o
Bulletproof,0.003%,Kommo-o
Serene Grace,69.948%,Blissey
Natural Cure,26.999%,Blissey
Healer,3.054%,Blissey
Skill Link,99.960%,Cloyster
Overcoat,0.039%,Cloyster
Shell Armor,0.001%,Cloyster
Speed Boost,99.990%,Blaziken
Blaze,0.010%,Blaziken
Cloud Nine,87.480%,Drampa
Sap Sipper,8.813%,Drampa
Berserk,3.707%,Drampa
Unburden,86.197%,Hawlucha
Mold Breaker,13.704%,Hawlucha
Limber,0.099%,Hawlucha
Vital Spirit,50.430%,Mime Galarian Mr. Mime
Screen Cleaner,49.553%,Mime Galarian Mr. Mime
Ice Body,0.017%,Mime Galarian Mr. Mime
Limber,85.148%,Grapploct
Technician,14.852%,Grapploct
Illusion,100.000%,Zoroark
Chlorophyll,99.545%,Lilligant
Own Tempo,0.453%,Lilligant
Leaf Guard,0.002%,Lilligant
Mega Launcher,100.000%,Clawitzer
Intimidate,99.325%,Qwilfish
Swift Swim,0.669%,Qwilfish
Poison Point,0.006%,Qwilfish
Mold Breaker,97.616%,Haxorus
Unnerve,2.301%,Haxorus
Rivalry,0.083%,Haxorus
Steelworker,100.000%,Dhelmise
Wandering Spirit,100.000%,Runerigus
Defiant,99.876%,Braviary
Keen Eye,0.104%,Braviary
Sheer Force,0.020%,Braviary
Justified,100.000%,Virizion
Serene Grace,69.448%,Togetic
Super Luck,21.452%,Togetic
Hustle,9.100%,Togetic
Surge Surfer,100.000%,Alolan Raichu
Slush Rush,76.245%,Beartic
Swift Swim,23.592%,Beartic
Snow Cloak,0.162%,Beartic
Sheer Force,85.824%,Copperajah
Heavy Metal,14.176%,Copperajah
Hustle,93.710%,Flapple
Ripen,6.289%,Flapple
Gluttony,0.001%,Flapple
Pixilate,99.281%,Sylveon
Cute Charm,0.719%,Sylveon
Unburden,99.986%,Slurpuff
Sweet Veil,0.014%,Slurpuff
Ice Face,100.000%,Eiscue Ice Face
Sand Stream,92.875%,Hippowdon
Sand Force,7.125%,Hippowdon
Magic Guard,81.760%,Alakazam
Inner Focus,14.202%,Alakazam
Synchronize,4.039%,Alakazam
Intimidate,99.998%,Torracat
Blaze,0.002%,Torracat
Unburden,99.565%,Thievul
Stakeout,0.435%,Thievul
Run Away,0.001%,Thievul
Volt Absorb,93.586%,Arctozolt
Static,6.414%,Arctozolt
Mummy,100.000%,Cofagrigus
Natural Cure,65.201%,Starmie
Analytic,31.130%,Starmie
Illuminate,3.669%,Starmie
Shell Armor,100.000%,Turtonator
Speed Boost,99.057%,Sharpedo
Rough Skin,0.943%,Sharpedo
Corrosion,52.985%,Salazzle
Oblivious,47.015%,Salazzle
Drought,99.868%,Ninetales
Flash Fire,0.132%,Ninetales
Scrappy,99.328%,Sirfetch'd
Steadfast,0.672%,Sirfetch'd
Motor Drive,77.116%,Emolga
Static,22.884%,Emolga
Shield Dust,54.465%,Ribombee
Sweet Veil,44.542%,Ribombee
Honey Gather,0.993%,Ribombee
Battery,100.000%,Charjabug
Punk Rock,99.781%,Toxtricity Low Key Form
Plus,0.109%,Toxtricity Low Key Form
Technician,0.074%,Toxtricity Low Key Form
Minus,0.036%,Toxtricity Low Key Form
Water Absorb,97.966%,Vaporeon
Hydration,2.034%,Vaporeon
Soundproof,60.628%,Mr. Mime
Filter,36.799%,Mr. Mime
Technician,2.573%,Mr. Mime
Sturdy,64.126%,Magnezone
Analytic,31.935%,Magnezone
Magnet Pull,3.939%,Magnezone
Justified,85.462%,Gallade
Steadfast,14.538%,Gallade
Klutz,47.612%,Lopunny
Cute Charm,27.258%,Lopunny
Limber,25.130%,Lopunny
Frisk,98.646%,Gourgeist Small Size
Pickup,1.354%,Gourgeist Small Size
Contrary,99.952%,Malamar
Infiltrator,0.048%,Malamar
Suction Cups,0.000%,Malamar
Emergency Exit,100.000%,Golisopod
Cloud Nine,86.812%,Golduck
Swift Swim,12.989%,Golduck
Damp,0.199%,Golduck
Effect Spore,87.374%,Shiinotic
Rain Dish,11.580%,Shiinotic
Illuminate,1.046%,Shiinotic
Tough Claws,100.000%,Lycanroc Dusk Form
Super Luck,99.652%,Unfezant
Big Pecks,0.348%,Unfezant
Rivalry,0.000%,Unfezant
Steely Spirit,71.525%,Perrserker
Tough Claws,28.448%,Perrserker
Battle Armor,0.028%,Perrserker
Quick Draw,83.932%,Galarian Slowbro
Regenerator,13.946%,Galarian Slowbro
Own Tempo,2.121%,Galarian Slowbro
Sap Sipper,99.032%,Bouffalant
Soundproof,0.550%,Bouffalant
Reckless,0.419%,Bouffalant
Levitate,100.000%,Frost Rotom
Natural Cure,90.973%,Roserade
Poison Point,8.690%,Roserade
Technician,0.338%,Roserade
Regenerator,92.203%,Tangrowth
Chlorophyll,7.721%,Tangrowth
Leaf Guard,0.077%,Tangrowth
Shed Skin,55.896%,Sandaconda
Sand Spit,33.014%,Sandaconda
Sand Veil,11.090%,Sandaconda
Weak Armor,65.833%,Polteageist
Cursed Body,34.167%,Polteageist
Regenerator,97.040%,Tangela
Chlorophyll,2.941%,Tangela
Leaf Guard,0.019%,Tangela
Hunger Switch,100.000%,Morpeko Full Belly Mode
Cotton Down,92.851%,Eldegoss
Regenerator,6.593%,Eldegoss
Effect Spore,0.556%,Eldegoss
Aroma Veil,87.030%,Aromatisse
Healer,12.970%,Aromatisse
Sap Sipper,88.596%,Miltank
Scrappy,8.060%,Miltank
Thick Fat,3.344%,Miltank
Frisk,96.738%,Gourgeist Super Size
Insomnia,3.163%,Gourgeist Super Size
Pickup,0.099%,Gourgeist Super Size
Adaptability,91.071%,Crawdaunt
Hyper Cutter,8.929%,Crawdaunt
Shell Armor,0.000%,Crawdaunt
Moxie,51.673%,Heracross
Guts,47.992%,Heracross
Swarm,0.336%,Heracross
Analytic,69.106%,Magneton
Magnet Pull,20.648%,Magneton
Sturdy,10.246%,Magneton
Sand Rush,80.760%,Stoutland
Intimidate,18.933%,Stoutland
Scrappy,0.307%,Stoutland
Frisk,75.346%,Noivern
Infiltrator,16.234%,Noivern
Telepathy,8.420%,Noivern
Levitate,100.000%,Claydol
Volt Absorb,86.987%,Jolteon
Quick Feet,13.013%,Jolteon
Chlorophyll,92.915%,Vileplume
Effect Spore,7.085%,Vileplume
Perish Body,81.619%,Cursola
Weak Armor,18.381%,Cursola
Defiant,96.910%,Falinks
Battle Armor,3.090%,Falinks
Cheek Pouch,67.092%,Dedenne
Pickup,20.966%,Dedenne
Plus,11.943%,Dedenne
Levitate,100.000%,Flygon
Weak Armor,86.481%,Crustle
Sturdy,13.509%,Crustle
Shell Armor,0.010%,Crustle
Magic Guard,50.299%,Reuniclus
Overcoat,47.848%,Reuniclus
Regenerator,1.853%,Reuniclus
Frisk,94.745%,Dusknoir
