Use_Percentage (%),Pokemon,Teammate
7.436%,Scizor,Calyrex Ice Rider
24.162%,Galarian Articuno,Calyrex Ice Rider
35.976%,Alolan Marowak,Calyrex Ice Rider
13.466%,Raikou,Calyrex Ice Rider
44.544%,Oranguru,Calyrex Ice Rider
18.714%,Nihilego,Calyrex Ice Rider
77.854%,Kangaskhan,Calyrex Ice Rider
23.915%,Moltres,Calyrex Ice Rider
89.638%,Drifblim,Calyrex Ice Rider
23.882%,Excadrill,Calyrex Ice Rider
54.404%,Primarina,Calyrex Ice Rider
17.469%,Shiftry,Calyrex Ice Rider
66.429%,Sceptile,Calyrex Ice Rider
41.583%,Pincurchin,Calyrex Ice Rider
26.719%,Aegislash Shield Forme,Calyrex Ice Rider
11.187%,Greedent,Calyrex Ice Rider
32.647%,Porygon-Z,Calyrex Ice Rider
4.688%,Exeggutor,Calyrex Ice Rider
49.517%,Altaria,Calyrex Ice Rider
32.747%,Jellicent,Calyrex Ice Rider
50.952%,Riolu,Calyrex Ice Rider
51.831%,Alolan Exeggutor,Calyrex Ice Rider
25.376%,Dragonite,Calyrex Ice Rider
16.450%,Blacephalon,Calyrex Ice Rider
62.653%,Trevenant,Calyrex Ice Rider
77.025%,Clefable,Calyrex Ice Rider
24.465%,Abomasnow,Calyrex Ice Rider
11.684%,Cresselia,Calyrex Ice Rider
1.351%,Mr. Rime,Calyrex Ice Rider
97.137%,Wishiwashi Solo Form,Calyrex Ice Rider
12.251%,Conkeldurr,Calyrex Ice Rider
7.887%,Machamp,Calyrex Ice Rider
36.306%,Silvally,Calyrex Ice Rider
21.200%,Accelgor,Calyrex Ice Rider
24.156%,Mow Rotom,Calyrex Ice Rider
21.776%,Palossand,Calyrex Ice Rider
42.321%,Espeon,Calyrex Ice Rider
74.976%,Tyrantrum,Calyrex Ice Rider
10.102%,Drampa,Calyrex Ice Rider
12.457%,Amoonguss,Porygon2
11.406%,Indeedee Female,Porygon2
23.465%,Calyrex Ice Rider,Porygon2
20.836%,Palkia,Porygon2
21.989%,Venusaur,Porygon2
25.677%,Shedinja,Porygon2
42.770%,Torkoal,Porygon2
32.271%,Kingdra,Porygon2
29.802%,Tapu Fini,Porygon2
18.927%,Reshiram,Porygon2
85.795%,Dawn Wings Necrozma,Porygon2
23.185%,Araquanid,Porygon2
19.423%,Mienshao,Porygon2
15.885%,Tapu Koko,Porygon2
15.185%,Alolan Marowak,Porygon2
33.547%,Gyarados,Porygon2
72.300%,Kangaskhan,Porygon2
89.650%,Drifblim,Porygon2
11.123%,Dragonite,Porygon2
65.014%,Registeel,Porygon2
41.381%,Vikavolt,Porygon2
25.360%,Black Kyurem,Porygon2
17.065%,Accelgor,Porygon2
21.324%,Palossand,Porygon2
15.806%,Zoroark,Porygon2
34.482%,Clawitzer,Porygon2
34.424%,Dhelmise,Porygon2
21.343%,Braviary,Porygon2
14.033%,Virizion,Porygon2
13.703%,Copperajah,Porygon2
22.235%,Slurpuff,Porygon2
15.649%,Alakazam,Porygon2
41.289%,Sharpedo,Porygon2
19.233%,Gourgeist Small Size,Porygon2
26.678%,Golisopod,Porygon2
13.052%,Lycanroc Dusk Form,Porygon2
32.215%,Perrserker,Porygon2
45.066%,Tangrowth,Porygon2
14.783%,Noivern,Porygon2
24.963%,Drapion,Porygon2
16.208%,Marowak,Porygon2
18.138%,Dragalge,Porygon2
60.584%,Golurk,Porygon2
35.711%,Scolipede,Porygon2
14.737%,Dunsparce,Porygon2
10.976%,Indeedee Female,Shedinja
68.456%,Kingdra,Shedinja
8.538%,Raichu,Shedinja
40.272%,Inteleon,Shedinja
23.808%,Calyrex Ice Rider,Dusclops
20.429%,Palkia,Dusclops
51.141%,Glastrier,Dusclops
33.559%,Escavalier,Dusclops
19.182%,Kingler,Dusclops
10.264%,Kangaskhan,Dusclops
11.230%,Greedent,Dusclops
70.860%,Lurantis,Dusclops
93.029%,Wishiwashi Solo Form,Dusclops
21.777%,Conkeldurr,Dusclops
19.433%,Black Kyurem,Dusclops
24.970%,Mow Rotom,Dusclops
40.243%,Drampa,Dusclops
31.726%,Lilligant,Dusclops
81.503%,Haxorus,Dusclops
17.873%,Runerigus,Dusclops
37.538%,Copperajah,Dusclops
24.467%,Arctozolt,Dusclops
20.992%,Lycanroc Dusk Form,Dusclops
49.422%,Roserade,Dusclops
17.712%,Stoutland,Dusclops
46.367%,Vileplume,Dusclops
11.182%,Flygon,Dusclops
25.540%,Exploud,Dusclops
61.749%,Wigglytuff,Dusclops
95.465%,Arctovish,Dusclops
22.141%,Maractus,Dusclops
25.014%,Tentacruel,Dusclops
35.400%,Dragalge,Dusclops
13.022%,Alolan Sandslash,Dusclops
14.915%,Poliwrath,Dusclops
85.723%,Fan Rotom,Dusclops
78.722%,Steelix,Dusclops
94.336%,Corsola,Dusclops
10.823%,Calyrex Ice Rider,Urshifu Single Strike Style
20.382%,Dialga,Urshifu Single Strike Style
13.440%,Tapu Lele,Urshifu Single Strike Style
18.284%,Celesteela,Urshifu Single Strike Style
29.654%,Talonflame,Urshifu Single Strike Style
4.926%,Azumarill,Urshifu Single Strike Style
20.576%,Kingler,Urshifu Single Strike Style
17.058%,Nihilego,Urshifu Single Strike Style
51.893%,Krookodile,Urshifu Single Strike Style
17.648%,Latias,Urshifu Single Strike Style
23.097%,Articuno,Urshifu Single Strike Style
15.482%,Heatran,Urshifu Single Strike Style
24.324%,Rhyperior,Urshifu Single Strike Style
18.800%,Accelgor,Urshifu Single Strike Style
2.647%,Garbodor,Urshifu Single Strike Style
19.939%,Palossand,Urshifu Single Strike Style
14.794%,Clawitzer,Urshifu Single Strike Style
18.745%,Beartic,Urshifu Single Strike Style
23.745%,Hippowdon,Urshifu Single Strike Style
18.718%,Ninetales,Urshifu Single Strike Style
37.403%,Emolga,Urshifu Single Strike Style
14.913%,Toxtricity Low Key Form,Urshifu Single Strike Style
26.690%,Magnezone,Urshifu Single Strike Style
28.623%,Gourgeist Small Size,Urshifu Single Strike Style
22.145%,Galarian Slowbro,Urshifu Single Strike Style
68.931%,Frost Rotom,Urshifu Single Strike Style
44.500%,Aromatisse,Urshifu Single Strike Style
49.133%,Flygon,Urshifu Single Strike Style
24.855%,Drapion,Urshifu Single Strike Style
32.772%,Exploud,Urshifu Single Strike Style
38.357%,Gardevoir,Urshifu Single Strike Style
73.510%,Seaking,Urshifu Single Strike Style
9.687%,Galvantula,Urshifu Single Strike Style
55.020%,Steelix,Urshifu Single Strike Style
14.487%,Tornadus Incarnate Forme,Raichu
16.094%,Kartana,Raichu
44.550%,Glastrier,Raichu
29.048%,Escavalier,Raichu
24.493%,Krookodile,Raichu
39.282%,Mudsdale,Raichu
46.341%,Articuno,Raichu
24.980%,Leafeon,Raichu
31.455%,Abomasnow,Raichu
2.647%,Garbodor,Raichu
18.286%,Gengar,Raichu
73.574%,Sigilyph,Raichu
23.880%,Poliwrath,Raichu
11.706%,Tornadus Incarnate Forme,Tapu Lele
12.547%,Kartana,Tapu Lele
18.301%,Celesteela,Tapu Lele
33.205%,Pheromosa,Tapu Lele
14.137%,Hitmontop,Tapu Lele
12.260%,Obstagoon,Tapu Lele
30.329%,Scrafty,Tapu Lele
22.659%,Duraludon,Tapu Lele
13.824%,Zapdos,Ferrothorn
30.174%,Entei,Ferrothorn
37.437%,Gothitelle,Ferrothorn
15.219%,Dawn Wings Necrozma,Ferrothorn
24.289%,Lugia,Ferrothorn
22.260%,Hydreigon,Ferrothorn
62.252%,Weavile,Ferrothorn
30.785%,Darmanitan Galarian Standard Mode,Ferrothorn
58.824%,Alolan Persian,Ferrothorn
35.327%,Salamence,Ferrothorn
25.848%,Ludicolo,Ferrothorn
62.640%,Slowbro,Ferrothorn
5.084%,Giratina Origin Forme,Ferrothorn
49.082%,Moltres,Ferrothorn
24.547%,Krookodile,Ferrothorn
3.228%,Drifblim,Ferrothorn
22.787%,Cherrim,Ferrothorn
37.244%,Darmanitan Standard Mode,Ferrothorn
4.348%,Wishiwashi Solo Form,Ferrothorn
18.601%,Terrakion,Ferrothorn
80.790%,Garbodor,Ferrothorn
11.327%,Tyrantrum,Ferrothorn
1.081%,Qwilfish,Ferrothorn
19.135%,Reuniclus,Ferrothorn
8.883%,Blastoise,Ditto
20.352%,White Kyurem,Ditto
14.438%,Gothitelle,Ditto
23.476%,Lugia,Ditto
16.699%,Talonflame,Ditto
80.406%,Toxapex,Ditto
19.182%,Kingler,Ditto
11.294%,Tyrantrum,Ditto
26.379%,Drapion,Ditto
23.041%,Lickilicky,Ditto
26.585%,Venusaur,Torkoal
25.931%,Mamoswine,Torkoal
2.425%,Dawn Wings Necrozma,Torkoal
15.311%,Zekrom,Torkoal
14.514%,Stakataka,Torkoal
10.595%,Oranguru,Torkoal
41.618%,Krookodile,Torkoal
2.580%,Trevenant,Torkoal
65.014%,Registeel,Torkoal
39.126%,Leafeon,Torkoal
1.224%,Mr. Rime,Torkoal
36.428%,Silvally,Torkoal
75.221%,Lilligant,Torkoal
15.959%,Runerigus,Torkoal
22.724%,Braviary,Torkoal
19.727%,Copperajah,Torkoal
25.889%,Slurpuff,Torkoal
16.243%,Alakazam,Torkoal
46.205%,Thievul,Torkoal
19.230%,Cofagrigus,Torkoal
16.421%,Sharpedo,Torkoal
13.894%,Ninetales,Torkoal
42.951%,Malamar,Torkoal
10.412%,Shiinotic,Torkoal
34.196%,Lycanroc Dusk Form,Torkoal
60.141%,Galarian Slowbro,Torkoal
20.756%,Tangrowth,Torkoal
8.441%,Morpeko Full Belly Mode,Torkoal
52.049%,Aromatisse,Torkoal
71.246%,Vileplume,Torkoal
20.000%,Cursola,Torkoal
11.260%,Flygon,Torkoal
17.705%,Wigglytuff,Torkoal
60.137%,Gardevoir,Torkoal
31.024%,Galarian Corsola,Torkoal
1.847%,Arctovish,Torkoal
50.218%,Maractus,Torkoal
16.639%,Marowak,Torkoal
13.624%,Dragalge,Torkoal
24.082%,Flareon,Torkoal
16.813%,Lickilicky,Torkoal
87.733%,Corsola,Torkoal
20.347%,Ferrothorn,Zapdos
10.281%,Shedinja,Zapdos
15.985%,Solgaleo,Zapdos
30.989%,Seismitoad,Zapdos
29.788%,Araquanid,Zapdos
42.417%,Mienshao,Zapdos
21.437%,Dusk Mane Necrozma,Zapdos
62.063%,Weavile,Zapdos
30.754%,Darmanitan Galarian Standard Mode,Zapdos
63.684%,Alolan Persian,Zapdos
37.238%,Inteleon,Zapdos
14.029%,Ludicolo,Zapdos
29.685%,Centiskorch,Zapdos
55.691%,Lucario,Zapdos
35.551%,Froslass,Zapdos
50.734%,Mandibuzz,Zapdos
34.953%,Alolan Exeggutor,Zapdos
18.606%,Heatran,Zapdos
16.764%,Rhyperior,Zapdos
49.456%,Diggersby,Zapdos
18.381%,Giratina Altered Forme,Zapdos
4.712%,Tauros,Zapdos
5.838%,Dugtrio,Zapdos
18.879%,Urshifu Single Strike Style,Dialga
25.984%,Sableye,Dialga
19.774%,Urshifu Rapid Strike Style,Dialga
11.659%,Seismitoad,Dialga
36.613%,Togekiss,Dialga
40.852%,Indeedee Male,Dialga
36.501%,Chansey,Dialga
10.448%,Tapu Koko,Dialga
37.175%,Liepard,Dialga
14.180%,Dracovish,Dialga
54.147%,Shuckle,Dialga
4.654%,Alolan Persian,Dialga
18.724%,Talonflame,Dialga
21.303%,Wash Rotom,Dialga
76.387%,Azumarill,Dialga
36.643%,Galarian Articuno,Dialga
73.764%,Giratina Origin Forme,Dialga
22.349%,Raikou,Dialga
37.374%,Oranguru,Dialga
35.551%,Froslass,Dialga
24.095%,Latias,Dialga
22.887%,Alolan Exeggutor,Dialga
12.425%,Cradily,Dialga
20.325%,Scrafty,Dialga
9.398%,Cresselia,Dialga
4.712%,Tauros,Dialga
2.647%,Garbodor,Dialga
61.070%,Luxray,Dialga
53.761%,Shedinja,Kingdra
10.494%,Weezing,Kingdra
36.024%,Dhelmise,Kingdra
8.319%,Flapple,Kingdra
15.538%,Perrserker,Kingdra
16.415%,Orbeetle,Kingdra
23.667%,Noctowl,Kingdra
8.428%,Kingdra,Weezing
84.614%,Regigigas,Weezing
14.483%,Regidrago,Weezing
18.297%,Volcarona,Weezing
25.688%,Pikachu,Weezing
26.145%,Appletun,Weezing
39.005%,Accelgor,Weezing
48.739%,Palossand,Weezing
20.379%,Ribombee,Weezing
0.130%,Mime Jr.,Weezing
37.434%,Weezing,Regigigas
25.039%,Volcarona,Regigigas
25.660%,Galarian Weezing,Regigigas
39.005%,Accelgor,Regigigas
48.739%,Palossand,Regigigas
16.969%,Hawlucha,Regigigas
34.043%,Entei,Gothitelle
57.156%,Shiftry,Gothitelle
37.046%,Grapploct,Gothitelle
16.377%,Beartic,Gothitelle
54.641%,Sandaconda,Gothitelle
18.654%,Jolteon,Gothitelle
17.598%,Cursola,Gothitelle
17.740%,Tapu Fini,Dawn Wings Necrozma
32.791%,Urshifu Rapid Strike Style,Coalossal
30.836%,Rayquaza,Coalossal
27.514%,Blacephalon,Coalossal
16.881%,Clawitzer,Coalossal
86.009%,Qwilfish,Coalossal
22.199%,Golduck,Coalossal
35.536%,Magneton,Coalossal
19.693%,Mimikyu,Solgaleo
24.922%,Eternatus,Solgaleo
36.327%,Spectrier,Solgaleo
48.233%,Arcanine,Solgaleo
69.495%,Alcremie,Solgaleo
16.630%,Tsareena,Solgaleo
10.392%,Hitmontop,Solgaleo
24.938%,Volcarona,Solgaleo
13.056%,Salamence,Solgaleo
13.676%,Slowking,Solgaleo
15.035%,Alolan Ninetales,Solgaleo
80.742%,Toxapex,Solgaleo
59.962%,Raikou,Solgaleo
20.638%,Gyarados,Solgaleo
8.352%,Tapu Bulu,Solgaleo
4.903%,Drifblim,Solgaleo
55.521%,Lucario,Solgaleo
19.859%,Altaria,Solgaleo
16.521%,Riolu,Solgaleo
73.735%,Lurantis,Solgaleo
46.341%,Articuno,Solgaleo
43.480%,Abomasnow,Solgaleo
22.890%,Corviknight,Solgaleo
31.920%,Conkeldurr,Solgaleo
24.914%,Terrakion,Solgaleo
63.465%,Dugtrio,Solgaleo
77.470%,Manectric,Solgaleo
0.400%,Tyrantrum,Solgaleo
28.172%,Blaziken,Solgaleo
10.661%,Mimikyu,Seismitoad
31.303%,Pincurchin,Seismitoad
11.642%,Registeel,Seismitoad
19.632%,Hawlucha,Seismitoad
42.787%,Gothitelle,Entei
57.156%,Shiftry,Entei
15.432%,Riolu,Entei
17.788%,Bisharp,Entei
43.871%,Kommo-o,Entei
12.383%,Seismitoad,Mimikyu
18.695%,Dusk Mane Necrozma,Mimikyu
13.186%,Alcremie,Mimikyu
25.920%,Aegislash Shield Forme,Mimikyu
32.646%,Porygon-Z,Mimikyu
6.577%,Lurantis,Mimikyu
12.748%,Cradily,Mimikyu
8.092%,Luxray,Mimikyu
14.717%,Dhelmise,Mimikyu
62.153%,Turtonator,Mimikyu
12.066%,Ninetales,Mimikyu
22.332%,Sirfetch'd,Mimikyu
26.442%,Drapion,Mimikyu
20.822%,Flareon,Mimikyu
4.065%,Bewear,Mimikyu
27.648%,Lickilicky,Mimikyu
99.946%,Mime Jr.,Mimikyu
8.865%,Heat Rotom,Meowstic Male
10.690%,Hatterene,Meowstic Male
75.315%,Swoobat,Meowstic Male
13.720%,Ninetales,Meowstic Male
32.225%,Emolga,Meowstic Male
39.786%,Shiinotic,Meowstic Male
49.318%,Flygon,Meowstic Male
10.645%,Lycanroc Midnight Form,Meowstic Male
21.447%,Eternatus,Arcanine
64.819%,Alcremie,Arcanine
21.039%,Slowbro,Arcanine
23.890%,Togedemaru,Arcanine
17.789%,Excadrill,Arcanine
23.068%,Grapploct,Arcanine
19.088%,Togetic,Arcanine
48.701%,Flapple,Arcanine
22.528%,Sylveon,Arcanine
37.506%,Emolga,Arcanine
23.166%,Golisopod,Arcanine
62.752%,Bouffalant,Arcanine
87.995%,Gourgeist Super Size,Arcanine
21.986%,Heracross,Arcanine
21.343%,Noivern,Arcanine
18.177%,Jolteon,Arcanine
39.835%,Wigglytuff,Arcanine
90.553%,Druddigon,Arcanine
30.699%,Poliwrath,Arcanine
64.104%,Golurk,Arcanine
19.139%,Hitmonlee,Arcanine
36.566%,Scolipede,Arcanine
56.404%,Sandslash,Arcanine
57.000%,Steelix,Arcanine
99.986%,Gourgeist Large Size,Arcanine
19.432%,Eternatus,Alcremie
44.917%,Arcanine,Alcremie
32.360%,Porygon-Z,Alcremie
9.790%,Regigigas,Comfey
21.794%,Zygarde Complete Forme,Comfey
11.970%,Zamazenta Crowned Shield,Comfey
55.551%,Zekrom,Comfey
19.654%,Talonflame,Comfey
22.413%,Giratina Altered Forme,Comfey
11.294%,Tyrantrum,Comfey
11.256%,Cloyster,Comfey
31.337%,Blaziken,Comfey
18.685%,Lilligant,Comfey
6.718%,Eiscue Ice Face,Comfey
35.590%,Gallade,Comfey
25.175%,Bouffalant,Comfey
30.489%,Sandaconda,Comfey
59.271%,Miltank,Comfey
13.127%,Dedenne,Comfey
20.497%,Dusknoir,Comfey
29.231%,Marowak,Comfey
9.817%,Bewear,Comfey
15.036%,Golurk,Comfey
30.709%,Hitmonlee,Comfey
14.246%,Cinderace,Indeedee Male
46.718%,Hatterene,Indeedee Male
66.874%,Slowking,Indeedee Male
23.883%,Moltres,Indeedee Male
18.621%,Terrakion,Indeedee Male
19.289%,Crobat,Indeedee Male
22.245%,Grapploct,Indeedee Male
1.510%,Qwilfish,Indeedee Male
16.533%,Sylveon,Indeedee Male
59.442%,Slurpuff,Indeedee Male
19.391%,Alakazam,Indeedee Male
54.657%,Thievul,Indeedee Male
31.021%,Starmie,Indeedee Male
10.340%,Turtonator,Indeedee Male
24.782%,Toxtricity Low Key Form,Indeedee Male
68.889%,Frost Rotom,Indeedee Male
23.253%,Tangela,Indeedee Male
8.742%,Miltank,Indeedee Male
21.100%,Crawdaunt,Indeedee Male
16.719%,Exploud,Indeedee Male
15.634%,Wigglytuff,Indeedee Male
78.717%,Vanilluxe,Indeedee Male
4.777%,Sigilyph,Indeedee Male
31.025%,Decidueye,Indeedee Male
21.009%,Passimian,Indeedee Male
16.963%,Alolan Sandslash,Indeedee Male
28.575%,Hitmonlee,Indeedee Male
17.110%,Dunsparce,Indeedee Male
79.309%,Coalossal,Urshifu Rapid Strike Style
31.796%,Indeedee Male,Urshifu Rapid Strike Style
31.994%,Rayquaza,Urshifu Rapid Strike Style
10.251%,Zamazenta Crowned Shield,Urshifu Rapid Strike Style
33.814%,Galarian Articuno,Urshifu Rapid Strike Style
27.037%,Nihilego,Urshifu Rapid Strike Style
22.241%,Grapploct,Urshifu Rapid Strike Style
81.445%,Haxorus,Urshifu Rapid Strike Style
20.610%,Braviary,Urshifu Rapid Strike Style
23.368%,Alolan Raichu,Urshifu Rapid Strike Style
23.322%,Slurpuff,Urshifu Rapid Strike Style
14.638%,Ninetales,Urshifu Rapid Strike Style
27.262%,Magnezone,Urshifu Rapid Strike Style
31.253%,Gallade,Urshifu Rapid Strike Style
9.896%,Galarian Slowbro,Urshifu Rapid Strike Style
35.596%,Magneton,Urshifu Rapid Strike Style
19.882%,Exploud,Urshifu Rapid Strike Style
21.838%,Gardevoir,Urshifu Rapid Strike Style
5.489%,Seaking,Urshifu Rapid Strike Style
26.841%,Dragalge,Urshifu Rapid Strike Style
13.795%,Scolipede,Urshifu Rapid Strike Style
25.633%,Coalossal,Rayquaza
4.130%,Electivire,Rayquaza
17.950%,Xurkitree,Rayquaza
21.816%,Gengar,Rayquaza
8.792%,Coalossal,Dragapult
14.744%,Scizor,Dragapult
8.042%,Kabutops,Dragapult
3.334%,Swoobat,Dragapult
16.057%,Conkeldurr,Dragapult
16.820%,Cobalion,Dragapult
23.979%,Virizion,Dragapult
22.262%,Alolan Raichu,Dragapult
18.295%,Copperajah,Dragapult
22.018%,Sylveon,Dragapult
22.884%,Hippowdon,Dragapult
3.982%,Torracat,Dragapult
17.269%,Toxtricity Low Key Form,Dragapult
13.098%,Vaporeon,Dragapult
27.983%,Magnezone,Dragapult
70.037%,Gourgeist Small Size,Dragapult
24.220%,Golisopod,Dragapult
29.382%,Lycanroc Dusk Form,Dragapult
65.287%,Tangela,Dragapult
7.710%,Miltank,Dragapult
18.860%,Gourgeist Super Size,Dragapult
35.537%,Magneton,Dragapult
19.037%,Dedenne,Dragapult
25.914%,Reuniclus,Dragapult
44.840%,Exploud,Dragapult
17.531%,Lycanroc Midday Form,Dragapult
38.576%,Beheeyem,Dragapult
45.061%,Dunsparce,Dragapult
99.789%,Mime Jr.,Dragapult
99.986%,Gourgeist Large Size,Dragapult
30.375%,Umbreon,Lunala
20.943%,Celesteela,Lunala
41.225%,Araquanid,Lunala
14.068%,Stakataka,Lunala
74.647%,Sneasel,Lunala
32.360%,Porygon-Z,Lunala
16.046%,Obstagoon,Lunala
15.812%,Blacephalon,Lunala
1.635%,Wishiwashi Solo Form,Lunala
4.475%,Machamp,Lunala
36.192%,Silvally,Lunala
1.448%,Mime Galarian Mr. Mime,Lunala
18.694%,Umbreon,Ho-oh
22.680%,Celesteela,Ho-oh
22.162%,Liepard,Ho-oh
29.007%,Shuckle,Ho-oh
76.486%,Sneasel,Ho-oh
10.004%,Wash Rotom,Ho-oh
72.131%,Azumarill,Ho-oh
24.568%,Krookodile,Ho-oh
41.131%,Obstagoon,Ho-oh
20.531%,Scrafty,Ho-oh
8.765%,Aerodactyl,Ho-oh
5.082%,Swoobat,Ho-oh
19.942%,Indeedee Male,Cinderace
64.137%,Klinklang,Cinderace
49.538%,Togedemaru,Cinderace
24.171%,Mandibuzz,Cinderace
24.141%,Dragonite,Cinderace
32.433%,Corviknight,Cinderace
24.611%,Braviary,Cinderace
19.444%,Alolan Raichu,Cinderace
19.934%,Beartic,Cinderace
18.028%,Alakazam,Cinderace
51.093%,Thievul,Cinderace
46.001%,Arctozolt,Cinderace
28.219%,Starmie,Cinderace
26.630%,Sirfetch'd,Cinderace
37.451%,Emolga,Cinderace
52.140%,Toxtricity Low Key Form,Cinderace
27.690%,Vaporeon,Cinderace
11.974%,Gallade,Cinderace
64.492%,Lopunny,Cinderace
59.823%,Gourgeist Small Size,Cinderace
17.394%,Malamar,Cinderace
15.403%,Golisopod,Cinderace
29.303%,Golduck,Cinderace
35.203%,Shiinotic,Cinderace
26.155%,Lycanroc Dusk Form,Cinderace
16.672%,Roserade,Cinderace
42.574%,Polteageist,Cinderace
71.992%,Morpeko Full Belly Mode,Cinderace
83.549%,Eldegoss,Cinderace
44.647%,Crawdaunt,Cinderace
16.909%,Crustle,Cinderace
23.275%,Dusknoir,Cinderace
22.680%,Drapion,Cinderace
46.120%,Exploud,Cinderace
16.675%,Gardevoir,Cinderace
82.326%,Vanilluxe,Cinderace
78.439%,Sigilyph,Cinderace
39.463%,Decidueye,Cinderace
13.472%,Galvantula,Cinderace
92.000%,Arctovish,Cinderace
27.746%,Maractus,Cinderace
15.189%,Orbeetle,Cinderace
62.165%,Ninjask,Cinderace
35.158%,Beheeyem,Cinderace
28.558%,Marowak,Cinderace
16.509%,Dragalge,Cinderace
10.974%,Scyther,Cinderace
14.823%,Alolan Sandslash,Cinderace
61.942%,Lycanroc Midnight Form,Cinderace
56.046%,Scolipede,Cinderace
11.419%,Indeedee Male,Hatterene
66.711%,Slowking,Hatterene
23.883%,Moltres,Hatterene
5.823%,Greedent,Hatterene
75.128%,Swoobat,Hatterene
35.102%,Zoroark,Hatterene
29.503%,Clawitzer,Hatterene
81.414%,Haxorus,Hatterene
18.134%,Dhelmise,Hatterene
48.346%,Runerigus,Hatterene
25.079%,Braviary,Hatterene
17.936%,Virizion,Hatterene
21.085%,Copperajah,Hatterene
21.802%,Slurpuff,Hatterene
20.075%,Alakazam,Hatterene
53.112%,Mr. Mime,Hatterene
12.126%,Gallade,Hatterene
14.082%,Malamar,Hatterene
47.176%,Shiinotic,Hatterene
15.353%,Perrserker,Hatterene
57.059%,Tangrowth,Hatterene
4.105%,Eldegoss,Hatterene
31.067%,Crawdaunt,Hatterene
21.934%,Vileplume,Hatterene
16.236%,Cursola,Hatterene
23.583%,Dusknoir,Hatterene
13.484%,Dragalge,Hatterene
6.224%,Bewear,Hatterene
17.196%,Golurk,Hatterene
20.557%,Lickilicky,Hatterene
24.434%,Comfey,Zekrom
21.089%,Blacephalon,Zekrom
8.177%,Luxray,Zekrom
17.931%,Blaziken,Zekrom
18.640%,Comfey,Zygarde Complete Forme
55.528%,Zamazenta Crowned Shield,Zygarde Complete Forme
27.036%,Galarian Zapdos,Zygarde Complete Forme
22.776%,Ludicolo,Zygarde Complete Forme
21.484%,Butterfree,Zygarde Complete Forme
18.226%,Bisharp,Zygarde Complete Forme
50.875%,Glaceon,Zygarde Complete Forme
46.162%,Zygarde Complete Forme,Zamazenta Crowned Shield
10.893%,Hitmontop,Zamazenta Crowned Shield
27.473%,Galarian Zapdos,Zamazenta Crowned Shield
20.575%,Ludicolo,Zamazenta Crowned Shield
31.582%,Centiskorch,Zamazenta Crowned Shield
24.020%,Darmanitan Standard Mode,Zamazenta Crowned Shield
30.082%,Appletun,Zamazenta Crowned Shield
97.288%,Mr. Rime,Zamazenta Crowned Shield
50.929%,Glaceon,Zamazenta Crowned Shield
29.493%,Zygarde Complete Forme,Tapu Fini
60.816%,Dawn Wings Necrozma,Tapu Fini
17.028%,Metagross,Tapu Fini
20.850%,Zamazenta Crowned Shield,Tapu Fini
28.270%,Galarian Zapdos,Tapu Fini
3.228%,Drifblim,Tapu Fini
24.962%,Cherrim,Tapu Fini
8.765%,Aerodactyl,Tapu Fini
20.905%,Rhyperior,Tapu Fini
39.323%,Drampa,Tapu Fini
14.193%,Zygarde Complete Forme,Metagross
17.559%,Zamazenta Crowned Shield,Metagross
29.856%,Galarian Zapdos,Metagross
16.468%,Pelipper,Metagross
75.128%,Swoobat,Metagross
21.074%,Black Kyurem,Metagross
13.992%,Zygarde Complete Forme,Galarian Zapdos
17.371%,Metagross,Galarian Zapdos
17.103%,Zamazenta Crowned Shield,Galarian Zapdos
25.734%,Xurkitree,Galarian Zapdos
60.498%,Luxray,Galarian Zapdos
58.583%,Dugtrio,Galarian Zapdos
12.706%,Manectric,Galarian Zapdos
9.048%,Barraskewda,Pelipper
10.082%,Flapple,Pelipper
18.428%,Poliwrath,Pelipper
20.321%,Celesteela,Sneasel
29.349%,Eiscue Ice Face,Sneasel
19.157%,Celesteela,Umbreon
70.075%,Sneasel,Umbreon
47.877%,Garchomp,Umbreon
8.031%,Tapu Bulu,Umbreon
20.417%,Leafeon,Umbreon
3.334%,Swoobat,Umbreon
36.281%,Glaceon,Umbreon
77.470%,Manectric,Umbreon
39.473%,Espeon,Umbreon
47.431%,Vaporeon,Umbreon
51.960%,Flygon,Umbreon
64.554%,Flareon,Umbreon
29.633%,Araquanid,Mienshao
17.445%,Giratina Altered Forme,Mienshao
21.036%,Blissey,Mienshao
25.798%,Maractus,Mienshao
51.544%,Arcanine,Eternatus
39.057%,Chansey,Eternatus
67.395%,Alcremie,Eternatus
41.156%,Galarian Articuno,Eternatus
20.930%,Slowbro,Eternatus
11.386%,Toxapex,Eternatus
24.205%,Togedemaru,Eternatus
32.175%,Tapu Bulu,Eternatus
38.923%,Mudsdale,Eternatus
28.855%,Klefki,Eternatus
26.184%,Heatran,Eternatus
33.870%,Diggersby,Eternatus
38.761%,Boltund,Eternatus
39.111%,Accelgor,Eternatus
46.085%,Mow Rotom,Eternatus
8.445%,Manectric,Eternatus
48.739%,Palossand,Eternatus
15.061%,Arcanine,White Kyurem
24.757%,Hydreigon,White Kyurem
58.079%,Scizor,White Kyurem
24.664%,Alolan Ninetales,White Kyurem
63.530%,Slowbro,White Kyurem
80.389%,Toxapex,White Kyurem
31.307%,Pincurchin,White Kyurem
7.399%,Exeggutor,White Kyurem
28.529%,Latias,White Kyurem
