,Item,UsePercentage,Pokemon
265,Power Herb,14.662,Eternatus
266,Choice Specs,11.731,Eternatus
267,Other,4.145,Eternatus
268,Life Orb,86.114,Regigigas
269,Lum Berry,11.639,Regigigas
270,Other,2.247,Regigigas
271,Life Orb,41.424,Cinderace
272,White Herb,33.648,Cinderace
273,Focus Sash,15.050,Cinderace
274,Choice Band,3.468,Cinderace
275,Assault Vest,2.890,Cinderace
276,Other,3.519,Cinderace
277,Leftovers,73.326,Bronzong
278,Mental Herb,7.286,Bronzong
279,Sitrus Berry,7.268,Bronzong
280,Wide Lens,6.827,Bronzong
281,Safety Goggles,2.213,Bronzong
282,Other,3.080,Bronzong
283,Safety Goggles,31.203,Togekiss
284,Scope Lens,27.303,Togekiss
285,Focus Sash,19.493,Togekiss
286,Babiri Berry,13.131,Togekiss
287,Wacan Berry,2.890,Togekiss
288,Weakness Policy,2.077,Togekiss
289,Other,3.903,Togekiss
290,Weakness Policy,93.952,Coalossal
291,Room Service,3.744,Coalossal
292,Other,2.305,Coalossal
293,Focus Sash,43.349,Dragapult
294,Life Orb,28.191,Dragapult
295,Assault Vest,6.433,Dragapult
296,Aguav Berry,6.316,Dragapult
297,Light Clay,3.384,Dragapult
298,Safety Goggles,2.682,Dragapult
299,Lum Berry,2.512,Dragapult
300,Weakness Policy,1.883,Dragapult
301,Choice Scarf,1.795,Dragapult
302,Other,3.456,Dragapult
303,Leftovers,46.938,Umbreon
304,Safety Goggles,23.229,Umbreon
305,Room Service,16.426,Umbreon
306,Sitrus Berry,9.246,Umbreon
307,Other,4.161,Umbreon
308,Focus Sash,71.746,Indeedee Male
309,Choice Scarf,16.316,Indeedee Male
310,Psychic Seed,8.783,Indeedee Male
311,Other,3.155,Indeedee Male
312,Babiri Berry,61.098,Comfey
313,Focus Sash,19.302,Comfey
314,Mental Herb,16.553,Comfey
315,Other,3.047,Comfey
316,Light Clay,60.456,Lapras
317,Life Orb,19.710,Lapras
318,Weakness Policy,14.445,Lapras
319,Leftovers,1.992,Lapras
320,Other,3.396,Lapras
321,Life Orb,44.555,Rayquaza
322,Lum Berry,28.418,Rayquaza
323,Assault Vest,11.609,Rayquaza
324,Focus Sash,6.037,Rayquaza
325,Grassy Seed,4.417,Rayquaza
326,Other,4.963,Rayquaza
327,Safety Goggles,41.657,Spectrier
328,Focus Sash,41.142,Spectrier
329,Choice Scarf,8.599,Spectrier
330,Spell Tag,6.004,Spectrier
331,Other,2.598,Spectrier
332,Assault Vest,46.598,Reshiram
333,Life Orb,40.011,Reshiram
334,Safety Goggles,6.958,Reshiram
335,Charcoal,1.077,Reshiram
336,Sitrus Berry,1.011,Reshiram
337,Other,4.345,Reshiram
338,Leftovers,47.338,Zygarde Complete Forme
339,Weakness Policy,27.115,Zygarde Complete Forme
340,Misty Seed,18.909,Zygarde Complete Forme
341,Figy Berry,1.813,Zygarde Complete Forme
342,Other,4.825,Zygarde Complete Forme
343,Life Orb,46.877,Mamoswine
344,Babiri Berry,46.572,Mamoswine
345,Focus Sash,3.998,Mamoswine
346,Other,2.553,Mamoswine
347,Power Herb,95.899,Dawn Wings Necrozma
348,Other,4.101,Dawn Wings Necrozma
349,Life Orb,78.300,Barraskewda
350,White Herb,11.576,Barraskewda
351,Choice Scarf,5.501,Barraskewda
352,Other,4.623,Barraskewda
353,Assault Vest,28.431,Celesteela
354,Sitrus Berry,20.166,Celesteela
355,Leftovers,16.158,Celesteela
356,Power Herb,14.848,Celesteela
357,Weakness Policy,11.164,Celesteela
358,Expert Belt,7.068,Celesteela
359,Other,2.165,Celesteela
360,Weakness Policy,62.375,Metagross
361,Assault Vest,27.254,Metagross
362,Life Orb,6.162,Metagross
363,Other,4.210,Metagross
364,Safety Goggles,38.966,Araquanid
365,Iron Ball,20.633,Araquanid
366,Life Orb,18.728,Araquanid
367,Mystic Water,13.125,Araquanid
368,Sitrus Berry,3.834,Araquanid
369,Other,4.714,Araquanid
370,Focus Sash,80.996,Pheromosa
371,Choice Scarf,9.657,Pheromosa
372,Focus Band,4.329,Pheromosa
373,Mental Herb,1.594,Pheromosa
374,Other,3.424,Pheromosa
375,Focus Sash,46.913,Arcanine
376,Rocky Helmet,11.384,Arcanine
377,Sitrus Berry,10.225,Arcanine
378,Utility Umbrella,9.434,Arcanine
379,Shuca Berry,6.381,Arcanine
380,Assault Vest,4.555,Arcanine
381,Leftovers,4.103,Arcanine
382,Life Orb,1.404,Arcanine
383,Safety Goggles,1.225,Arcanine
384,Other,4.376,Arcanine
385,Rusted Shield,100.000,Zamazenta Crowned Shield
386,Eviolite,86.232,Clefairy
387,Focus Sash,13.145,Clefairy
388,Other,0.623,Clefairy
389,Focus Sash,84.096,Mienshao
390,Black Belt,15.034,Mienshao
391,Other,0.869,Mienshao
392,Weakness Policy,89.577,Lugia
393,Life Orb,5.941,Lugia
394,Other,4.482,Lugia
395,Eviolite,98.059,Chansey
396,Other,1.941,Chansey
397,Leftovers,63.746,Suicune
398,Wacan Berry,20.904,Suicune
399,Sitrus Berry,7.712,Suicune
400,Aguav Berry,3.784,Suicune
401,Other,3.854,Suicune
402,Expert Belt,61.022,Landorus Incarnate Forme
403,Life Orb,30.205,Landorus Incarnate Forme
404,Choice Scarf,5.178,Landorus Incarnate Forme
405,Other,3.594,Landorus Incarnate Forme
406,Weakness Policy,88.874,Dusk Mane Necrozma
407,Assault Vest,3.163,Dusk Mane Necrozma
408,Leftovers,2.009,Dusk Mane Necrozma
409,Life Orb,1.916,Dusk Mane Necrozma
410,Other,4.037,Dusk Mane Necrozma
411,Leftovers,68.167,Alcremie
412,Focus Sash,19.467,Alcremie
413,Sitrus Berry,6.415,Alcremie
414,Iron Ball,2.162,Alcremie
415,Other,3.788,Alcremie
416,Life Orb,48.985,Tapu Koko
417,Assault Vest,29.792,Tapu Koko
418,Focus Sash,7.008,Tapu Koko
419,Light Clay,6.982,Tapu Koko
420,Choice Specs,2.686,Tapu Koko
421,Other,4.547,Tapu Koko
422,Focus Sash,97.584,Liepard
423,Other,2.416,Liepard
424,Assault Vest,67.212,Hydreigon
425,Safety Goggles,16.907,Hydreigon
426,Life Orb,12.242,Hydreigon
427,Other,3.639,Hydreigon
428,Focus Sash,82.706,Weavile
429,Wide Lens,12.632,Weavile
430,Other,4.662,Weavile
431,Wide Lens,34.761,Tsareena
432,Coba Berry,22.330,Tsareena
433,Assault Vest,15.928,Tsareena
434,Sitrus Berry,13.989,Tsareena
435,Focus Sash,7.738,Tsareena
436,Life Orb,2.328,Tsareena
437,Other,2.926,Tsareena
438,Lum Berry,52.918,Glastrier
439,Babiri Berry,16.920,Glastrier
440,Assault Vest,14.209,Glastrier
441,Life Orb,7.075,Glastrier
442,Leftovers,5.359,Glastrier
443,Other,3.520,Glastrier
444,Iron Ball,28.129,Dracovish
445,Choice Band,25.899,Dracovish
446,Choice Scarf,17.511,Dracovish
